ENTITY_BKEY,ENTITY_NAME,ENTITY_COUNTRY,LEGAL_FORM,ENTITY_STATUS,REGISTRATION_AUTHORITY,ENTITY_CURRENCY,TRN,TIN,TAX_RESIDENCE,TIN_REGISTRATION_DATE,TIN_2,TAX_RESIDENCE_2,TIN_REGISTRATION_DATE_2,TIN_3,TAX_RESIDENCE_3,TIN_REGISTRATION_DATE_3,SERVICE_OFFICE,SCOPE_ADMIN_SERVICES,FORMATION_DATE,VAT_GST_CODE,VAT_GST_COUNTRY,VAT_GST_CODE_2,VAT_GST_COUNTRY_2,VAT_GST_CODE_3,VAT_GST_COUNTRY_3,ACCOUNTING_SYSTEM,_MODIFIED
11971433,EQT Exeter Asia Pacific Logistics Value Fund II Collect SCSp,LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B276288,20235803446,LU,27/03/2023,,,,,,,VISTRA,Fund Administration,27/03/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11919299,"Acorn Feeder, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,122656,,,,,,,,,,VISTRA,Fund Administration,14/04/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11919290,"Acorn Aggregator, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,122666,,,,,,,,,,VISTRA,Fund Administration,14/04/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11919303,Acorn GP Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,399220,,,,,,,,,,VISTRA,Fund Administration,14/04/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
BPEAGR,BPEA Growth Fund (HK) Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75252345,75252345,HK,21/04/2023,,,,,,,VISTRA,Co-Sec,21/04/2023,,,,,,,,2025-05-06 00:13:51.000 Z
11919310,"Acorn Partnership, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,122725,,,,,,,,,,VISTRA,Fund Administration,21/04/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
KENTIA,Kentia (HK) Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75267186,75267186,HK,26/04/2023,,,,,,,VISTRA,Co-Sec,26/04/2023,,,,,,,,2025-05-06 00:13:51.000 Z
11921448,"Acorn Co-investment, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,122768,,,,,,,,,,VISTRA,Fund Administration,26/04/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11932446,EQT Exeter Asia Pacific Logistics Value Fund II GP S.à r.l.,LU,Société à responsabilité limitée,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B277597,20232424819,LU,12/05/2023,,,,,,,VISTRA,Fund Administration,12/05/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11932444,EQT Exeter Asia Pacific Logistics Value Fund II (No.1) SCSp,LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B277697,20235806356,LU,16/05/2023,,,,,,,VISTRA,Fund Administration,16/05/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11932445,EQT Exeter Asia Pacific Logistics Value Fund II (No.2) SCSp,LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B277698,20235806364,LU,16/05/2023,,,,,,,VISTRA,Fund Administration,16/05/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11923260,MONMOUTH PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202320420Z,202320420Z,SG,24/05/2023,,,,,,,VISTRA,Fund Administration,24/05/2023,202320420Z,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11923774,MONMOUTH PARENT PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202321017C,202321017C,SG,29/05/2023,,,,,,,VISTRA,Fund Administration,29/05/2023,202321017C,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11923972,MONNOW PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202321648W,202321648W,SG,01/06/2023,,,,,,,VISTRA,Fund Administration,01/06/2023,202321648W,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11925999,Virtue Management Services Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,400836,,,,,,,,,,VISTRA,Fund Administration,16/06/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11924438,Houting TopCo B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,90524861,865347153,NL,16/06/2023,,,,,,,VISTRA,Fund Administration,16/06/2023,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
CLOUHK,Clou (HK) Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75451686,75451686,HK,26/06/2023,,,,,,,VISTRA,Co-Sec,26/06/2023,,,,,,,,2025-05-06 00:13:51.000 Z
11923567,Krooneend Holdings B.V. ,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,90768566,865446702,NL,06/07/2023,,,,,,,VISTRA,Fund Administration,06/07/2023,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11923557,Krooneend B.V. ,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,90774175,865448905,NL,07/07/2023,,,,,,,VISTRA,Fund Administration,07/07/2023,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11930168,"Campus Co-investment, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,123640,,,,,,,,,,VISTRA,Fund Administration,10/07/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11930161,Campus GP Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,401426,,,,,,,,,,VISTRA,Fund Administration,10/07/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11929532,FULHAM PARENT PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202327426Z,202327426Z,SG,12/07/2023,,,,,,,VISTRA,Fund Administration,12/07/2023,202327426Z,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11929524,FULHAM PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202327434K,202327434K,SG,12/07/2023,,,,,,,VISTRA,Fund Administration,12/07/2023,202327434K,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11929358,Witkopeend Holdings B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,90873505,865481830,NL,18/07/2023,,,,,,,VISTRA,Fund Administration,18/07/2023,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
11929357,Witkopeend B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),USD,90885589,865485914,NL,19/07/2023,,,,,,,VISTRA,Fund Administration,19/07/2023,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
VERTIV,Vertiver (HK) Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75617993,75617993,HK,20/07/2023,,,,,,,VISTRA,Co-Sec,20/07/2023,,,,,,,,2025-05-06 00:13:51.000 Z
11937673,Bospolder Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,2130759,,,,,,,,,,VISTRA,Fund Administration,23/08/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11938421,Ceres GP Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,402888,,,,,,,,,,VISTRA,Fund Administration,30/08/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11938289,"Ceres Co-investment, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,124176,,,,,,,,,,VISTRA,Fund Administration,31/08/2023,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
HARPTO,Harp Topco Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75755440,75755440,HK,27/09/2023,,,,,,,VISTRA,Co-Sec,27/09/2023,,,,,,,,2025-05-06 00:13:51.000 Z
BEZANT,Bezant (HK) TopCo Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75760095,75760095,HK,28/09/2023,,,,,,,VISTRA,Co-Sec,28/09/2023,,,,,,,,2025-05-06 00:13:51.000 Z
HARPMI,Harp Midco Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75761546,75761546,HK,28/09/2023,,,,,,,VISTRA,Co-Sec,28/09/2023,,,,,,,,2025-05-06 00:13:51.000 Z
HARPLI,Harp Group Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75764112,75764112,HK,28/09/2023,,,,,,,VISTRA,Co-Sec,28/09/2023,,,,,,,,2025-05-06 00:13:51.000 Z
BEZAN1,Bezant (HK) PledgeCo Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75764138,75764138,HK,28/09/2023,,,,,,,VISTRA,Co-Sec,28/09/2023,,,,,,,,2025-05-06 00:13:51.000 Z
BEZAN2,Bezant (HK) BorrowerCo Limited,HK,Limited Liability Company,Active,Companies Registry,USD,75766172,75766172,HK,29/09/2023,,,,,,,VISTRA,Co-Sec,29/09/2023,,,,,,,,2025-05-06 00:13:51.000 Z
